"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: kind","Param: offset","Param: size"
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,11923.973239,NaN,"ns/op",sortedset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,320666.811229,NaN,"ns/op",sortedset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,4005112.208781,NaN,"ns/op",sortedset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,44047239.518939,NaN,"ns/op",sortedset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,74.328758,NaN,"ns/op",sortedset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,392.531984,NaN,"ns/op",sortedset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,8607.226312,NaN,"ns/op",sortedset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,178605.360666,NaN,"ns/op",sortedset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,2150397.253030,NaN,"ns/op",sortedset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,29494812.695833,NaN,"ns/op",sortedset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,17.224773,NaN,"ns/op",sortedset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,134.610316,NaN,"ns/op",sortedset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,1943.556913,NaN,"ns/op",sortedset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,37734.113395,NaN,"ns/op",sortedset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,579752.298113,NaN,"ns/op",sortedset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,6865736.417808,NaN,"ns/op",sortedset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,18.687631,NaN,"ns/op",arrayset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,120.724884,NaN,"ns/op",arrayset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,1178.957143,NaN,"ns/op",arrayset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,13472.733220,NaN,"ns/op",arrayset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,142940.099008,NaN,"ns/op",arrayset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,1816125.849880,NaN,"ns/op",arrayset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,17.162469,NaN,"ns/op",arrayset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,17.654478,NaN,"ns/op",arrayset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.subsetOf","avgt",1,2,23.749346,NaN,"ns/op",arrayset,0.5,100
